SWMM5 LID Report File

Project:  
LID Unit: GreenRoof in Subcatchment FS10

                    	  Elapsed	    Total	    Total	  Surface	 Pavement	     Soil	  Storage	  Surface	    Drain	  Surface	 Pavement	     Soil	  Storage
                    	     Time	   Inflow	     Evap	    Infil	     Perc	     Perc	    Exfil	   Runoff	  OutFlow	    Level	    Level	 Moisture	    Level
Date        Time    	    Hours	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	    in/hr	   inches	   inches	  Content	   inches
----------- --------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------	 ---------
 01/07/2009 15:30:00	   28.917	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.237	    0.014
 01/07/2009 15:50:00	   29.250	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.237	    0.014
 01/07/2009 15:55:00	   29.333	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.239	    0.014
 01/07/2009 16:00:00	   29.417	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.239	    0.014
 01/07/2009 16:10:00	   29.583	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.239	    0.014
 01/07/2009 16:15:00	   29.667	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.242	    0.014
 01/07/2009 16:20:00	   29.750	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.242	    0.014
 01/07/2009 16:25:00	   29.833	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.244	    0.014
 01/07/2009 16:30:00	   29.917	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.244	    0.014
 01/07/2009 16:35:00	   30.000	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.247	    0.014
 01/07/2009 16:40:00	   30.083	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.249	    0.014
 01/07/2009 16:45:00	   30.167	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.249	    0.014
 01/07/2009 16:50:00	   30.250	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.252	    0.013
 01/07/2009 16:55:00	   30.333	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.254	    0.013
 01/07/2009 17:00:00	   30.417	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.257	    0.013
 01/07/2009 17:05:00	   30.500	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.259	    0.013
 01/07/2009 17:10:00	   30.583	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.262	    0.013
 01/07/2009 17:15:00	   30.667	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.264	    0.013
 01/07/2009 17:20:00	   30.750	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.267	    0.013
 01/07/2009 17:25:00	   30.833	    0.240	   0.0000	    0.240	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.272	    0.013
 01/07/2009 17:30:00	   30.917	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.274	    0.013
 01/07/2009 17:35:00	   31.000	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.277	    0.013
 01/07/2009 17:40:00	   31.083	    0.240	   0.0000	    0.240	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.282	    0.013
 01/07/2009 17:45:00	   31.167	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.284	    0.013
 01/07/2009 17:50:00	   31.250	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.287	    0.013
 01/07/2009 17:55:00	   31.333	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.289	    0.013
 01/07/2009 18:00:00	   31.417	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.292	    0.013
 01/07/2009 18:05:00	   31.500	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.294	    0.013
 01/07/2009 18:10:00	   31.583	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.297	    0.013
 01/07/2009 18:15:00	   31.667	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.299	    0.013
 01/07/2009 18:20:00	   31.750	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.302	    0.013
 01/07/2009 18:25:00	   31.833	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.302	    0.013
 01/07/2009 18:30:00	   31.917	    0.240	   0.0000	    0.240	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.307	    0.013
 01/07/2009 18:35:00	   32.000	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.309	    0.012
 01/07/2009 18:40:00	   32.083	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.309	    0.012
 01/07/2009 18:45:00	   32.167	    0.240	   0.0000	    0.240	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.314	    0.012
 01/07/2009 18:50:00	   32.250	    0.240	   0.0000	    0.240	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.319	    0.012
 01/07/2009 18:55:00	   32.333	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.322	    0.012
 01/07/2009 19:00:00	   32.417	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.324	    0.012
 01/07/2009 19:05:00	   32.500	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.327	    0.012
 01/07/2009 19:10:00	   32.583	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.327	    0.012
 01/07/2009 19:15:00	   32.667	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.329	    0.012
 01/07/2009 19:20:00	   32.750	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.000	    0.000	    0.000	    0.332	    0.012
 01/07/2009 19:25:00	   32.833	    0.120	   0.0000	    0.120	    0.000	    0.085	    0.000	   0.000	    0.000	    0.000	    0.000	    0.333	    0.036
 01/07/2009 19:30:00	   32.917	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.001	    0.000	    0.000	    0.333	    0.069
 01/07/2009 19:35:00	   33.000	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.003	    0.000	    0.000	    0.333	    0.101
 01/07/2009 19:40:00	   33.083	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.005	    0.000	    0.000	    0.333	    0.133
 01/07/2009 19:45:00	   33.167	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.008	    0.000	    0.000	    0.333	    0.164
 01/07/2009 19:50:00	   33.250	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.012	    0.000	    0.000	    0.333	    0.194
 01/07/2009 19:55:00	   33.333	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.015	    0.000	    0.000	    0.333	    0.223
 01/07/2009 20:00:00	   33.417	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.019	    0.000	    0.000	    0.333	    0.251
 01/07/2009 20:05:00	   33.500	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.024	    0.000	    0.000	    0.333	    0.278
 01/07/2009 20:10:00	   33.583	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.028	    0.000	    0.000	    0.333	    0.304
 01/07/2009 20:15:00	   33.667	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.032	    0.000	    0.000	    0.333	    0.328
 01/07/2009 20:20:00	   33.750	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.037	    0.000	    0.000	    0.333	    0.351
 01/07/2009 20:25:00	   33.833	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.041	    0.000	    0.000	    0.333	    0.373
 01/07/2009 20:30:00	   33.917	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.046	    0.000	    0.000	    0.333	    0.394
 01/07/2009 20:35:00	   34.000	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.050	    0.000	    0.000	    0.333	    0.413
 01/07/2009 20:40:00	   34.083	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.054	    0.000	    0.000	    0.333	    0.432
 01/07/2009 20:45:00	   34.167	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.058	    0.000	    0.000	    0.333	    0.449
 01/07/2009 20:50:00	   34.250	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.062	    0.000	    0.000	    0.333	    0.465
 01/07/2009 20:55:00	   34.333	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.066	    0.000	    0.000	    0.333	    0.480
 01/07/2009 21:00:00	   34.417	    0.000	   0.0000	    0.000	    0.000	    0.120	    0.000	   0.000	    0.069	    0.000	    0.000	    0.330	    0.494
 01/07/2009 21:05:00	   34.500	    0.240	   0.0000	    0.240	    0.000	    0.000	    0.000	   0.000	    0.073	    0.000	    0.000	    0.335	    0.474
 01/07/2009 21:10:00	   34.583	    0.120	   0.0000	    0.120	    0.000	    0.240	    0.000	   0.000	    0.068	    0.000	    0.000	    0.333	    0.522
 01/07/2009 21:15:00	   34.667	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.080	    0.000	    0.000	    0.333	    0.533
 01/07/2009 21:20:00	   34.750	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.082	    0.000	    0.000	    0.333	    0.543
 01/07/2009 21:25:00	   34.833	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.085	    0.000	    0.000	    0.333	    0.553
 01/07/2009 21:30:00	   34.917	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.088	    0.000	    0.000	    0.333	    0.562
 01/07/2009 21:35:00	   35.000	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.090	    0.000	    0.000	    0.333	    0.570
 01/07/2009 21:40:00	   35.083	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.092	    0.000	    0.000	    0.333	    0.578
 01/07/2009 21:45:00	   35.167	    0.240	   0.0000	    0.240	    0.000	    0.120	    0.000	   0.000	    0.094	    0.000	    0.000	    0.335	    0.585
 01/07/2009 21:50:00	   35.250	    0.240	   0.0000	    0.240	    0.000	    0.240	    0.000	   0.000	    0.096	    0.000	    0.000	    0.335	    0.625
 01/07/2009 21:55:00	   35.333	    0.120	   0.0000	    0.120	    0.000	    0.240	    0.000	   0.000	    0.108	    0.000	    0.000	    0.333	    0.662
 01/07/2009 22:00:00	   35.417	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.118	    0.000	    0.000	    0.333	    0.662
 01/07/2009 22:05:00	   35.500	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.118	    0.000	    0.000	    0.333	    0.663
 01/07/2009 22:10:00	   35.583	    0.240	   0.0000	    0.240	    0.000	    0.120	    0.000	   0.000	    0.119	    0.000	    0.000	    0.335	    0.663
 01/07/2009 22:15:00	   35.667	    0.120	   0.0000	    0.120	    0.000	    0.240	    0.000	   0.000	    0.119	    0.000	    0.000	    0.333	    0.697
 01/07/2009 22:20:00	   35.750	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.129	    0.000	    0.000	    0.333	    0.694
 01/07/2009 22:25:00	   35.833	    0.240	   0.0000	    0.240	    0.000	    0.120	    0.000	   0.000	    0.128	    0.000	    0.000	    0.335	    0.692
 01/07/2009 22:30:00	   35.917	    0.120	   0.0000	    0.120	    0.000	    0.240	    0.000	   0.000	    0.127	    0.000	    0.000	    0.333	    0.723
 01/07/2009 22:35:00	   36.000	    0.240	   0.0000	    0.240	    0.000	    0.120	    0.000	   0.000	    0.137	    0.000	    0.000	    0.335	    0.719
 01/07/2009 22:40:00	   36.083	    0.120	   0.0000	    0.120	    0.000	    0.240	    0.000	   0.000	    0.136	    0.000	    0.000	    0.333	    0.748
 01/07/2009 22:45:00	   36.167	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.145	    0.000	    0.000	    0.333	    0.741
 01/07/2009 22:50:00	   36.250	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.143	    0.000	    0.000	    0.333	    0.734
 01/07/2009 22:55:00	   36.333	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.141	    0.000	    0.000	    0.333	    0.729
 01/07/2009 23:00:00	   36.417	    0.240	   0.0000	    0.240	    0.000	    0.120	    0.000	   0.000	    0.139	    0.000	    0.000	    0.335	    0.723
 01/07/2009 23:05:00	   36.500	    0.120	   0.0000	    0.120	    0.000	    0.240	    0.000	   0.000	    0.137	    0.000	    0.000	    0.333	    0.752
 01/07/2009 23:10:00	   36.583	    0.000	   0.0000	    0.000	    0.000	    0.120	    0.000	   0.000	    0.146	    0.000	    0.000	    0.330	    0.745
 01/07/2009 23:15:00	   36.667	    0.240	   0.0000	    0.240	    0.000	    0.000	    0.000	   0.000	    0.144	    0.000	    0.000	    0.335	    0.705
 01/07/2009 23:20:00	   36.750	    0.120	   0.0000	    0.120	    0.000	    0.240	    0.000	   0.000	    0.131	    0.000	    0.000	    0.333	    0.735
 01/07/2009 23:25:00	   36.833	    0.240	   0.0000	    0.240	    0.000	    0.120	    0.000	   0.000	    0.141	    0.000	    0.000	    0.335	    0.729
 01/07/2009 23:30:00	   36.917	    0.240	   0.0000	    0.240	    0.000	    0.240	    0.000	   0.000	    0.139	    0.000	    0.000	    0.335	    0.757
 01/07/2009 23:35:00	   37.000	    0.120	   0.0000	    0.120	    0.000	    0.240	    0.000	   0.000	    0.148	    0.000	    0.000	    0.333	    0.783
 01/07/2009 23:40:00	   37.083	    0.240	   0.0000	    0.240	    0.000	    0.120	    0.000	   0.000	    0.156	    0.000	    0.000	    0.335	    0.773
 01/07/2009 23:45:00	   37.167	    0.120	   0.0000	    0.120	    0.000	    0.240	    0.000	   0.000	    0.153	    0.000	    0.000	    0.333	    0.797
 01/07/2009 23:50:00	   37.250	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.161	    0.000	    0.000	    0.333	    0.785
 01/07/2009 23:55:00	   37.333	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.157	    0.000	    0.000	    0.333	    0.775
 01/08/2009 00:00:00	   37.417	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.154	    0.000	    0.000	    0.333	    0.765
 01/08/2009 00:05:00	   37.500	    0.240	   0.0000	    0.240	    0.000	    0.120	    0.000	   0.000	    0.151	    0.000	    0.000	    0.335	    0.757
 01/08/2009 00:10:00	   37.583	    0.120	   0.0000	    0.120	    0.000	    0.240	    0.000	   0.000	    0.148	    0.000	    0.000	    0.333	    0.782
 01/08/2009 00:15:00	   37.667	    0.240	   0.0000	    0.240	    0.000	    0.120	    0.000	   0.000	    0.156	    0.000	    0.000	    0.335	    0.772
 01/08/2009 00:20:00	   37.750	    0.120	   0.0000	    0.120	    0.000	    0.240	    0.000	   0.000	    0.153	    0.000	    0.000	    0.333	    0.797
 01/08/2009 00:25:00	   37.833	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.161	    0.000	    0.000	    0.333	    0.785
 01/08/2009 00:30:00	   37.917	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.157	    0.000	    0.000	    0.333	    0.775
 01/08/2009 00:35:00	   38.000	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.154	    0.000	    0.000	    0.333	    0.765
 01/08/2009 00:40:00	   38.083	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.151	    0.000	    0.000	    0.333	    0.757
 01/08/2009 00:45:00	   38.167	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.148	    0.000	    0.000	    0.333	    0.749
 01/08/2009 00:50:00	   38.250	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.145	    0.000	    0.000	    0.333	    0.742
 01/08/2009 00:55:00	   38.333	    0.000	   0.0000	    0.000	    0.000	    0.120	    0.000	   0.000	    0.143	    0.000	    0.000	    0.330	    0.736
 01/08/2009 01:00:00	   38.417	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.141	    0.000	    0.000	    0.333	    0.696
 01/08/2009 01:05:00	   38.500	    0.000	   0.0000	    0.000	    0.000	    0.120	    0.000	   0.000	    0.129	    0.000	    0.000	    0.330	    0.694
 01/08/2009 01:10:00	   38.583	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.128	    0.000	    0.000	    0.333	    0.658
 01/08/2009 01:15:00	   38.667	    0.000	   0.0000	    0.000	    0.000	    0.120	    0.000	   0.000	    0.117	    0.000	    0.000	    0.330	    0.659
 01/08/2009 01:20:00	   38.750	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.118	    0.000	    0.000	    0.330	    0.627
 01/08/2009 01:25:00	   38.833	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.108	    0.000	    0.000	    0.330	    0.597
 01/08/2009 01:30:00	   38.917	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.099	    0.000	    0.000	    0.330	    0.569
 01/08/2009 01:35:00	   39.000	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.092	    0.000	    0.000	    0.330	    0.543
 01/08/2009 01:40:00	   39.083	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.085	    0.000	    0.000	    0.330	    0.520
 01/08/2009 01:45:00	   39.167	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.079	    0.000	    0.000	    0.330	    0.498
 01/08/2009 01:50:00	   39.250	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.074	    0.000	    0.000	    0.330	    0.477
 01/08/2009 01:55:00	   39.333	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.069	    0.000	    0.000	    0.330	    0.458
 01/08/2009 02:00:00	   39.417	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.064	    0.000	    0.000	    0.330	    0.440
 01/08/2009 02:05:00	   39.500	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.060	    0.000	    0.000	    0.330	    0.424
 01/08/2009 02:10:00	   39.583	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.056	    0.000	    0.000	    0.330	    0.408
 01/08/2009 02:15:00	   39.667	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.053	    0.000	    0.000	    0.330	    0.393
 01/08/2009 02:20:00	   39.750	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.050	    0.000	    0.000	    0.330	    0.380
 01/08/2009 02:25:00	   39.833	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.047	    0.000	    0.000	    0.330	    0.367
 01/08/2009 02:30:00	   39.917	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.044	    0.000	    0.000	    0.333	    0.354
 01/08/2009 02:35:00	   40.000	    0.000	   0.0000	    0.000	    0.000	    0.120	    0.000	   0.000	    0.042	    0.000	    0.000	    0.330	    0.376
 01/08/2009 02:40:00	   40.083	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.046	    0.000	    0.000	    0.330	    0.363
 01/08/2009 02:45:00	   40.167	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.044	    0.000	    0.000	    0.330	    0.351
 01/08/2009 02:50:00	   40.250	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.041	    0.000	    0.000	    0.330	    0.340
 01/08/2009 02:55:00	   40.333	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.039	    0.000	    0.000	    0.330	    0.329
 01/08/2009 03:00:00	   40.417	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.037	    0.000	    0.000	    0.330	    0.319
 01/08/2009 03:05:00	   40.500	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.035	    0.000	    0.000	    0.330	    0.309
 01/08/2009 03:10:00	   40.583	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.033	    0.000	    0.000	    0.330	    0.300
 01/08/2009 03:15:00	   40.667	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.032	    0.000	    0.000	    0.330	    0.291
 01/08/2009 03:20:00	   40.750	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.030	    0.000	    0.000	    0.330	    0.283
 01/08/2009 03:25:00	   40.833	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.029	    0.000	    0.000	    0.330	    0.275
 01/08/2009 03:30:00	   40.917	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.027	    0.000	    0.000	    0.330	    0.267
 01/08/2009 03:35:00	   41.000	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.026	    0.000	    0.000	    0.330	    0.260
 01/08/2009 03:40:00	   41.083	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.025	    0.000	    0.000	    0.333	    0.253
 01/08/2009 03:45:00	   41.167	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.024	    0.000	    0.000	    0.333	    0.280
 01/08/2009 03:50:00	   41.250	    0.120	   0.0000	    0.120	    0.000	    0.120	    0.000	   0.000	    0.028	    0.000	    0.000	    0.333	    0.305
 01/08/2009 03:55:00	   41.333	    0.000	   0.0000	    0.000	    0.000	    0.120	    0.000	   0.000	    0.033	    0.000	    0.000	    0.330	    0.329
 01/08/2009 04:00:00	   41.417	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.037	    0.000	    0.000	    0.333	    0.319
 01/08/2009 04:05:00	   41.500	    0.000	   0.0000	    0.000	    0.000	    0.120	    0.000	   0.000	    0.035	    0.000	    0.000	    0.330	    0.343
 01/08/2009 04:10:00	   41.583	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.040	    0.000	    0.000	    0.330	    0.332
 01/08/2009 04:15:00	   41.667	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.037	    0.000	    0.000	    0.330	    0.321
 01/08/2009 04:20:00	   41.750	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.035	    0.000	    0.000	    0.330	    0.312
 01/08/2009 04:25:00	   41.833	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.034	    0.000	    0.000	    0.330	    0.302
 01/08/2009 04:30:00	   41.917	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.032	    0.000	    0.000	    0.330	    0.293
 01/08/2009 04:35:00	   42.000	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.030	    0.000	    0.000	    0.330	    0.285
 01/08/2009 04:40:00	   42.083	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.029	    0.000	    0.000	    0.330	    0.277
 01/08/2009 04:45:00	   42.167	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.028	    0.000	    0.000	    0.330	    0.269
 01/08/2009 04:50:00	   42.250	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.026	    0.000	    0.000	    0.330	    0.262
 01/08/2009 04:55:00	   42.333	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.025	    0.000	    0.000	    0.330	    0.255
 01/08/2009 05:00:00	   42.417	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.024	    0.000	    0.000	    0.330	    0.248
 01/08/2009 05:05:00	   42.500	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.023	    0.000	    0.000	    0.330	    0.242
 01/08/2009 05:10:00	   42.583	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.022	    0.000	    0.000	    0.330	    0.236
 01/08/2009 05:15:00	   42.667	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.021	    0.000	    0.000	    0.330	    0.230
 01/08/2009 05:20:00	   42.750	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.020	    0.000	    0.000	    0.330	    0.224
 01/08/2009 05:25:00	   42.833	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.019	    0.000	    0.000	    0.330	    0.219
 01/08/2009 05:30:00	   42.917	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.019	    0.000	    0.000	    0.330	    0.213
 01/08/2009 05:35:00	   43.000	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.018	    0.000	    0.000	    0.330	    0.208
 01/08/2009 05:40:00	   43.083	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.017	    0.000	    0.000	    0.330	    0.204
 01/08/2009 05:45:00	   43.167	    0.120	   0.0000	    0.120	    0.000	    0.000	    0.000	   0.000	    0.017	    0.000	    0.000	    0.333	    0.199
 01/08/2009 05:50:00	   43.250	    0.000	   0.0000	    0.000	    0.000	    0.120	    0.000	   0.000	    0.016	    0.000	    0.000	    0.330	    0.228
 01/08/2009 05:55:00	   43.333	    0.000	   0.0000	    0.000	    0.000	    0.000	    0.000	   0.000	    0.020	    0.000	    0.000	    0.330	    0.222
